dataset,model,model_family,horizon,n_forecasts,rmse,mae,mase,directional_accuracy,mean_training_time_per_origin,mean_inference_time_per_origin
Airline,"Log ARIMA(0,1,1)(0,1,1)[12]",ARIMA/SARIMA,1,13,10.034463954950066,8.504595305596315,0.2927226005774429,0.9230769230769231,0.289663184622231,
Airline,Chronos-2,Chronos-2,1,13,13.852603266609547,10.606276292067312,0.36363995077280326,0.9230769230769231,0.0,0.01782379230448539
Airline,Naive,Naive,1,13,48.513281290162816,40.76923076923077,1.3924771096431374,0.0,0.0,1.2969231018080161e-05
Airline,PatchTST,PatchTST,1,13,87.73722289707807,67.89648907001202,2.3302340262686565,0.5384615384615384,0.821804538458729,0.0010535153828990461
Airline,"Log ARIMA(0,1,1)(0,1,1)[12]",ARIMA/SARIMA,3,13,18.079355057739193,13.364993361506537,0.455901512707991,1.0,0.289663184622231,
Airline,Chronos-2,Chronos-2,3,13,22.17024892215352,16.49643179086538,0.562060116029945,1.0,0.0,0.01782379230448539
Airline,Naive,Naive,3,13,96.95121691623298,76.76923076923077,2.6376097449184104,0.0,0.0,1.2969231018080161e-05
Airline,PatchTST,PatchTST,3,13,89.7498296745643,71.96363713191106,2.4858584287267687,0.46153846153846156,0.821804538458729,0.0010535153828990461
Airline,"Log ARIMA(0,1,1)(0,1,1)[12]",ARIMA/SARIMA,12,13,21.253868437910487,18.913375958317822,0.6514390119612603,1.0,0.289663184622231,
Airline,Chronos-2,Chronos-2,12,13,26.428231366771264,22.86082810621995,0.7886000509860037,1.0,0.0,0.01782379230448539
Airline,Naive,Naive,12,13,52.24204024758958,49.38461538461539,1.693633852570854,0.0,0.0,1.2969231018080161e-05
Airline,PatchTST,PatchTST,12,13,102.05587966195131,80.89342557466946,2.7651922103850817,0.46153846153846156,0.821804538458729,0.0010535153828990461
Electricity-CISO,"Log weekly-difference ARIMA(2,0,2)",ARIMA/SARIMA,1,84,940.7677811350792,719.7194734626048,0.4102051231920589,0.6547619047619048,28.99204069285493,
Electricity-CISO,Chronos-2,Chronos-2,1,84,554.7672363229608,430.1655738467262,0.24525831323049158,0.7976190476190477,0.0,0.6386781202413009
Electricity-CISO,Naive,Naive,1,84,1036.5176875802297,791.0595238095239,0.4508576576398839,0.0,0.0,1.3950006437620946e-05
Electricity-CISO,PatchTST,PatchTST,1,84,2742.1475610886678,1911.0755440848213,1.0877095435250836,0.6071428571428571,1.9126566571468997,0.0011457904710411738
Electricity-CISO,"Log weekly-difference ARIMA(2,0,2)",ARIMA/SARIMA,24,84,3102.451284602406,2409.2128044432793,1.3723774712960488,0.6071428571428571,28.99204069285493,
Electricity-CISO,Chronos-2,Chronos-2,24,84,1558.8431948257005,1190.5470145089287,0.6780148245372043,0.6547619047619048,0.0,0.6386781202413009
Electricity-CISO,Naive,Naive,24,84,1579.5395576830972,1267.857142857143,0.7219853484705245,0.0,0.0,1.3950006437620946e-05
Electricity-CISO,PatchTST,PatchTST,24,84,2859.0314711891783,2070.6043061755954,1.1787303398197229,0.6190476190476191,1.9126566571468997,0.0011457904710411738
Electricity-CISO,"Log weekly-difference ARIMA(2,0,2)",ARIMA/SARIMA,168,84,2859.5840540796353,2165.605001367442,1.2339556904076512,0.5238095238095238,28.99204069285493,
Electricity-CISO,Chronos-2,Chronos-2,168,84,2452.865333875125,1834.9540318080358,1.0456290699702353,0.6904761904761905,0.0,0.6386781202413009
Electricity-CISO,Naive,Naive,168,84,2859.051291200332,2165.214285714286,1.2337367306899345,0.0,0.0,1.3950006437620946e-05
Electricity-CISO,PatchTST,PatchTST,168,84,2854.2630961774294,2317.8462844122023,1.3202692332267414,0.6428571428571429,1.9126566571468997,0.0011457904710411738
SPY,"ARIMA(0,1,2)+drift",ARIMA/SARIMA,1,380,4.373009479246446,3.143754192074618,3.250326449745297,0.49736842105263157,2.1587474636785613,
SPY,Chronos-2,Chronos-2,1,380,7.338591275692809,5.843833481638055,5.974448019071219,0.46578947368421053,0.0,0.5605374439481622
SPY,Naive,Naive,1,380,4.358032489767754,3.127383222078022,3.2317090261452557,0.002631578947368421,0.0,2.5391049290958205e-05
SPY,PatchTST,PatchTST,1,380,37.37554821558554,31.944188087864926,32.40558415534922,0.45526315789473687,7.990199388423934,0.001302306314219524
SPY,"ARIMA(0,1,2)+drift",ARIMA/SARIMA,5,380,10.079375006854594,7.208609858795971,7.34745617212971,0.6342105263157894,2.1587474636785613,
SPY,Chronos-2,Chronos-2,5,380,11.60340537749513,8.926361365067333,9.11590232897657,0.4131578947368421,0.0,0.5605374439481622
SPY,Naive,Naive,5,380,10.186579195654392,7.405818658126029,7.553492791656237,0.0,0.0,2.5391049290958205e-05
SPY,PatchTST,PatchTST,5,380,38.51698195995799,32.91617098356548,33.39915182698858,0.42894736842105263,7.990199388423934,0.001302306314219524
SPY,"ARIMA(0,1,2)+drift",ARIMA/SARIMA,20,380,19.699481443502528,14.7514987760316,15.148208392291249,0.7026315789473684,2.1587474636785613,
SPY,Chronos-2,Chronos-2,20,380,20.95182485248572,16.519025501451996,16.899740537586684,0.4421052631578947,0.0,0.5605374439481622
SPY,Naive,Naive,20,380,20.36564306982636,15.74527238544665,16.1738141396268,0.0,0.0,2.5391049290958205e-05
SPY,PatchTST,PatchTST,20,380,41.89237976387586,35.832579241300884,36.455032095977415,0.3868421052631579,7.990199388423934,0.001302306314219524
