dataset,model,model_family,n_origins,training_requirement,total_training_time_seconds,mean_training_time_per_origin,total_inference_time_seconds,mean_inference_time_per_origin,recorded_total_compute_time_seconds,recorded_compute_time_per_origin,approximate_parameter_count,parameter_count_is_approximate,parameter_count_source,pretrained,origin_specific_retraining_required,timing_scope
Airline,"Log ARIMA(0,1,1)(0,1,1)[12]",ARIMA/SARIMA,13,origin-specific maximum-likelihood estimation,3.765621400089003,0.289663184622231,,,3.765621400089003,0.289663184622231,3,False,saved parameter dictionaries,False,True,elapsed_seconds combines estimation and forecast generation; separate inference time was not saved
Airline,Chronos-2,Chronos-2,13,none in experiment; pretrained zero-shot model,0.0,0.0,0.23170929995831005,0.01782379230448539,0.23170929995831005,0.01782379230448539,120000000,True,published model size (approximately 120M),True,False,inference only; one-time model download/load time was not saved
Airline,Naive,Naive,13,none,0.0,0.0,0.0001686000032350421,1.2969231018080161e-05,0.0001686000032350421,1.2969231018080161e-05,0,False,no estimated parameters,False,False,forecast-call elapsed time
Airline,PatchTST,PatchTST,13,supervised scratch training at every origin,10.683458999963477,0.821804538458729,0.0136956999776876,0.0010535153828990461,10.697154699941164,0.822858053841628,18060,False,saved num_parameters,False,True,separately saved training and inference times
Electricity-CISO,"Log weekly-difference ARIMA(2,0,2)",ARIMA/SARIMA,84,origin-specific maximum-likelihood estimation,2435.331418199814,28.99204069285493,,,2435.331418199814,28.99204069285493,6,False,saved parameter dictionaries,False,True,elapsed_seconds combines estimation and forecast generation; separate inference time was not saved
Electricity-CISO,Chronos-2,Chronos-2,84,none in experiment; pretrained zero-shot model,0.0,0.0,53.64896210026927,0.6386781202413009,53.64896210026927,0.6386781202413009,120000000,True,published model size (approximately 120M),True,False,inference only; one-time model download/load time was not saved
Electricity-CISO,Naive,Naive,84,none,0.0,0.0,0.0011718005407601595,1.3950006437620946e-05,0.0011718005407601595,1.3950006437620946e-05,0,False,no estimated parameters,False,False,forecast-call elapsed time
Electricity-CISO,PatchTST,PatchTST,84,supervised scratch training at every origin,160.66315920033958,1.9126566571468997,0.0962463995674586,0.0011457904710411738,160.75940559990704,1.913802447617941,24296,False,saved num_parameters,False,True,separately saved training and inference times
SPY,"ARIMA(0,1,2)+drift",ARIMA/SARIMA,380,origin-specific maximum-likelihood estimation,820.3240361978533,2.1587474636785613,,,820.3240361978533,2.1587474636785613,4,False,saved parameter dictionaries,False,True,elapsed_seconds combines estimation and forecast generation; separate inference time was not saved
SPY,Chronos-2,Chronos-2,380,none in experiment; pretrained zero-shot model,0.0,0.0,213.0042287003016,0.5605374439481622,213.0042287003016,0.5605374439481622,120000000,True,published model size (approximately 120M),True,False,inference only; one-time model download/load time was not saved
SPY,Naive,Naive,380,none,0.0,0.0,0.009648598730564117,2.5391049290958205e-05,0.009648598730564117,2.5391049290958205e-05,0,False,no estimated parameters,False,False,forecast-call elapsed time
SPY,PatchTST,PatchTST,380,supervised scratch training at every origin,3036.275767601095,7.990199388423934,0.4948763994034191,0.001302306314219524,3036.7706440004986,7.991501694738154,19540,False,saved num_parameters,False,True,separately saved training and inference times
