dataset,model,model_family,horizon,n_forecasts,rmse,mae,mase,directional_accuracy,mean_training_time_per_origin,mean_inference_time_per_origin,rmse_pct_difference_vs_naive,rmse_pct_difference_vs_arima,rmse_pct_difference_vs_chronos,mae_pct_difference_vs_naive,mae_pct_difference_vs_arima,mae_pct_difference_vs_chronos,mase_pct_difference_vs_naive,mase_pct_difference_vs_arima,mase_pct_difference_vs_chronos,arima_baseline
Airline,"Log ARIMA(0,1,1)(0,1,1)[12]",ARIMA/SARIMA,1,13,10.034463954950066,8.504595305596315,0.2927226005774429,0.9230769230769231,0.289663184622231,,-79.3160477129285,0.0,-27.56261215437218,-79.13967189193356,0.0,-19.81544633193173,-78.97828276312121,0.0,-19.502078923024722,"Log ARIMA(0,1,1)(0,1,1)[12]"
Airline,Chronos-2,Chronos-2,1,13,13.852603266609547,10.606276292067312,0.36363995077280326,0.9230769230769231,0.0,0.01782379230448539,-71.44575073420465,38.05025688269046,0.0,-73.98460532134432,24.71229859800641,0.0,-73.88539113106165,24.22681065809893,0.0,"Log ARIMA(0,1,1)(0,1,1)[12]"
Airline,Naive,Naive,1,13,48.513281290162816,40.76923076923077,1.3924771096431374,0.0,0.0,1.2969231018080161e-05,0.0,383.4665958038635,250.21057310649843,0.0,379.3788452509106,284.38778744358234,0.0,375.6985305870643,282.9274277163061,"Log ARIMA(0,1,1)(0,1,1)[12]"
Airline,PatchTST,PatchTST,1,13,87.73722289707807,67.89648907001202,2.3302340262686565,0.5384615384615384,0.821804538458729,0.0010535153828990461,80.85196582006671,774.3588425946433,533.3627059728242,66.53855809625593,698.3506166993485,540.1538787066431,67.34451217412445,696.055385430401,540.8080358927756,"Log ARIMA(0,1,1)(0,1,1)[12]"
Airline,"Log ARIMA(0,1,1)(0,1,1)[12]",ARIMA/SARIMA,3,13,18.079355057739193,13.364993361506537,0.455901512707991,1.0,0.289663184622231,,-81.35211126502932,0.0,-18.452178316890787,-82.59069001006164,0.0,-18.982519790084684,-82.71535379385348,0.0,-18.887410847045082,"Log ARIMA(0,1,1)(0,1,1)[12]"
Airline,Chronos-2,Chronos-2,3,13,22.17024892215352,16.49643179086538,0.562060116029945,1.0,0.0,0.01782379230448539,-77.13257282648769,22.62743251266115,0.0,-78.51166199586675,23.430153271739897,0.0,-78.69055052163029,23.28542467240058,0.0,"Log ARIMA(0,1,1)(0,1,1)[12]"
Airline,Naive,Naive,3,13,96.95121691623298,76.76923076923077,2.6376097449184104,0.0,0.0,1.2969231018080161e-05,0.0,436.2537358584109,337.3032402868284,0.0,474.40530416078815,365.36870362317046,0.0,478.54814502618746,369.27537992713326,"Log ARIMA(0,1,1)(0,1,1)[12]"
Airline,PatchTST,PatchTST,3,13,89.7498296745643,71.96363713191106,2.4858584287267687,0.46153846153846156,0.821804538458729,0.0010535153828990461,-7.427846158847872,396.42163333777364,304.8210283506659,-6.259791311137908,438.4487308402159,336.237593949012,-5.753365011029555,445.26215847829025,342.2762544130296,"Log ARIMA(0,1,1)(0,1,1)[12]"
Airline,"Log ARIMA(0,1,1)(0,1,1)[12]",ARIMA/SARIMA,12,13,21.253868437910487,18.913375958317822,0.6514390119612603,1.0,0.289663184622231,,-59.31654212357999,0.0,-19.57892246761017,-61.70188668876453,0.0,-17.267319143299588,-61.53601848638019,0.0,-17.39297871630213,"Log ARIMA(0,1,1)(0,1,1)[12]"
Airline,Chronos-2,Chronos-2,12,13,26.428231366771264,22.86082810621995,0.7886000509860037,1.0,0.0,0.01782379230448539,-49.41194631465288,24.34551123705686,0.0,-53.708603523230636,20.871219165746545,0.0,-53.43739440558849,21.055085204645387,0.0,"Log ARIMA(0,1,1)(0,1,1)[12]"
