dataset,model,origin,origin_actual,forecast_date,horizon,actual,forecast,actual_change,predicted_change,actual_direction,predicted_direction,direction_correct,mase_scale,scaled_absolute_error,elapsed_seconds,train_size,window,forecast_scale,model_identifier,transformers_version,device,model_configuration,context_length,patch_length,patch_stride,prediction_length,window_stride,num_training_windows,num_validation_windows,training_data_end,validation_start,validation_end,forecast_origin,scaler_fit_end,scaler_mean,scaler_std,epochs_trained,best_epoch,early_stopped,best_validation_loss,training_elapsed_seconds,inference_elapsed_seconds,num_parameters,forecast_is_finite,parameters_are_finite,training_warning,training_exception,absolute_error,squared_error,standardized_prediction
Airline,PatchTST,1958-12-01,337.0,1959-01-01,1,360,337.2242431640625,23.0,0.2242431640625,1.0,1.0,True,28.574074074074076,0.7970776857683896,5.488461700035259,120,expanding,original,PatchTST-HF-supervised-v1,5.15.0,cpu,"{""batch_size"":16,""context_length"":36,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":12,""patch_stride"":6,""patience"":5,""prediction_length"":12,""seed"":2026,""validation_points"":24,""weight_decay"":0.0001,""window_stride"":1}",36,12,6,12,1,49,13,1956-12-01,1957-01-01,1958-12-01,1958-12-01,1956-12-01,213.7083282470703,71.54266357421875,30,27,False,0.8606375455856323,0.8107144000241533,0.0010277000255882,18060,True,True,,,22.7757568359375,518.7350994497538,1.72646514326177
Airline,PatchTST,1958-12-01,337.0,1959-03-01,3,406,333.1446228027344,69.0,-3.855377197265625,1.0,-1.0,False,28.574074074074076,2.549702118374818,5.488461700035259,120,expanding,original,PatchTST-HF-supervised-v1,5.15.0,cpu,"{""batch_size"":16,""context_length"":36,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":12,""patch_stride"":6,""patience"":5,""prediction_length"":12,""seed"":2026,""validation_points"":24,""weight_decay"":0.0001,""window_stride"":1}",36,12,6,12,1,49,13,1956-12-01,1957-01-01,1958-12-01,1958-12-01,1956-12-01,213.7083282470703,71.54266357421875,30,27,False,0.8606375455856323,0.8107144000241533,0.0010277000255882,18060,True,True,,,72.85537719726562,5307.905986555852,1.6694415414343666
Airline,PatchTST,1958-12-01,337.0,1959-12-01,12,405,370.39453125,68.0,33.39453125,1.0,1.0,True,28.574074074074076,1.2110792692806225,5.488461700035259,120,expanding,original,PatchTST-HF-supervised-v1,5.15.0,cpu,"{""batch_size"":16,""context_length"":36,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":12,""patch_stride"":6,""patience"":5,""prediction_length"":12,""seed"":2026,""validation_points"":24,""weight_decay"":0.0001,""window_stride"":1}",36,12,6,12,1,49,13,1956-12-01,1957-01-01,1958-12-01,1958-12-01,1956-12-01,213.7083282470703,71.54266357421875,30,27,False,0.8606375455856323,0.8107144000241533,0.0010277000255882,18060,True,True,,,34.60546875,1197.5384674072266,2.1901086033843646
Airline,PatchTST,1959-01-01,360.0,1959-02-01,1,342,325.3978881835937,-18.0,-34.60211181640625,-1.0,-1.0,True,28.495412844036696,0.5826240141623571,0.8136300999904051,121,expanding,original,PatchTST-HF-supervised-v1,5.15.0,cpu,"{""batch_size"":16,""context_length"":36,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":12,""patch_stride"":6,""patience"":5,""prediction_length"":12,""seed"":2026,""validation_points"":24,""weight_decay"":0.0001,""window_stride"":1}",36,12,6,12,1,50,13,1957-01-01,1957-02-01,1959-01-01,1959-01-01,1957-01-01,214.7525787353516,71.90457916259766,30,29,False,0.8922872543334961,0.8036918999860063,0.0009346000151708,18060,True,True,,,16.60211181640625,275.63011676445603,1.5387797374912677
Airline,PatchTST,1959-01-01,360.0,1959-04-01,3,396,325.29754638671875,36.0,-34.70245361328125,1.0,-1.0,False,28.495412844036696,2.481187200208518,0.8136300999904051,121,expanding,original,PatchTST-HF-supervised-v1,5.15.0,cpu,"{""batch_size"":16,""context_length"":36,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":12,""patch_stride"":6,""patience"":5,""prediction_length"":12,""seed"":2026,""validation_points"":24,""weight_decay"":0.0001,""window_stride"":1}",36,12,6,12,1,50,13,1957-01-01,1957-02-01,1959-01-01,1959-01-01,1957-01-01,214.7525787353516,71.90457916259766,30,29,False,0.8922872543334961,0.8036918999860063,0.0009346000151708,18060,True,True,,,70.70245361328125,4998.836946938187,1.537384252001421
Airline,PatchTST,1959-01-01,360.0,1960-01-01,12,417,371.57952880859375,57.0,11.57952880859375,1.0,1.0,True,28.495412844036696,1.5939572955129688,0.8136300999904051,121,expanding,original,PatchTST-HF-supervised-v1,5.15.0,cpu,"{""batch_size"":16,""context_length"":36,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":12,""patch_stride"":6,""patience"":5,""prediction_length"":12,""seed"":2026,""validation_points"":24,""weight_decay"":0.0001,""window_stride"":1}",36,12,6,12,1,50,13,1957-01-01,1957-02-01,1959-01-01,1959-01-01,1957-01-01,214.7525787353516,71.90457916259766,30,29,False,0.8922872543334961,0.8036918999860063,0.0009346000151708,18060,True,True,,,45.42047119140625,2063.019203249365,2.1810425970035894
Airline,PatchTST,1959-02-01,342.0,1959-03-01,1,406,335.63140869140625,64.0,-6.36859130859375,1.0,-1.0,False,28.454545454545453,2.47301758592502,0.8097089999355376,122,expanding,original,PatchTST-HF-supervised-v1,5.15.0,cpu,"{""batch_size"":16,""context_length"":36,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":12,""patch_stride"":6,""patience"":5,""prediction_length"":12,""seed"":2026,""validation_points"":24,""weight_decay"":0.0001,""window_stride"":1}",36,12,6,12,1,51,13,1957-02-01,1957-03-01,1959-02-01,1959-02-01,1957-02-01,215.63265991210935,72.05998229980469,30,28,False,0.7982882261276245,0.7981339000398293,0.0011375000467523,18060,True,True,,,70.36859130859375,4951.738642755896,1.665261979666378
Airline,PatchTST,1959-02-01,342.0,1959-05-01,3,420,347.340087890625,78.0,5.340087890625,1.0,1.0,True,28.454545454545453,2.553543237070687,0.8097089999355376,122,expanding,original,PatchTST-HF-supervised-v1,5.15.0,cpu,"{""batch_size"":16,""context_length"":36,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":12,""patch_stride"":6,""patience"":5,""prediction_length"":12,""seed"":2026,""validation_points"":24,""weight_decay"":0.0001,""window_stride"":1}",36,12,6,12,1,51,13,1957-02-01,1957-03-01,1959-02-01,1959-02-01,1957-02-01,215.63265991210935,72.05998229980469,30,28,False,0.7982882261276245,0.7981339000398293,0.0011375000467523,18060,True,True,,,72.659912109375,5279.4628277421,1.8277471597279678
Airline,PatchTST,1959-02-01,342.0,1960-02-01,12,391,372.0318603515625,49.0,30.0318603515625,1.0,1.0,True,28.454545454545453,0.6666119365265576,0.8097089999355376,122,expanding,original,PatchTST-HF-supervised-v1,5.15.0,cpu,"{""batch_size"":16,""context_length"":36,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":12,""patch_stride"":6,""patience"":5,""prediction_length"":12,""seed"":2026,""validation_points"":24,""weight_decay"":0.0001,""window_stride"":1}",36,12,6,12,1,51,13,1957-02-01,1957-03-01,1959-02-01,1959-02-01,1957-02-01,215.63265991210935,72.05998229980469,30,28,False,0.7982882261276245,0.7981339000398293,0.0011375000467523,18060,True,True,,,18.9681396484375,359.7903217226267,2.170402981626559
Airline,PatchTST,1959-03-01,406.0,1959-04-01,1,396,339.4024658203125,-10.0,-66.5975341796875,-1.0,-1.0,True,28.594594594594597,1.979308851274516,0.8203474000329152,123,expanding,original,PatchTST-HF-supervised-v1,5.15.0,cpu,"{""batch_size"":16,""context_length"":36,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":12,""patch_stride"":6,""patience"":5,""prediction_length"":12,""seed"":2026,""validation_points"":24,""weight_decay"":0.0001,""window_stride"":1}",36,12,6,12,1,52,13,1957-03-01,1957-04-01,1959-03-01,1959-03-01,1957-03-01,217.05050659179688,73.05613708496094,30,26,False,0.7603793144226074,0.8085194999584928,0.0009924999903887,18060,True,True,,,56.5975341796875,3203.280875220895,1.6747663387433955
