dataset,model,origin,origin_actual,forecast_date,horizon,actual,forecast,actual_change,predicted_change,actual_direction,predicted_direction,direction_correct,mase_scale,scaled_absolute_error,elapsed_seconds,train_size,window,converged,iterations,warnflag,objective_value,optimizer_message,optimizer_status,initial_converged,initial_iterations,initial_warnflag,initial_objective_value,initial_optimizer_message,initial_optimizer_status,initial_parameters,retry_attempted,retry_accepted,retry_count,retry_parameter,retry_parameter_offset,retry_converged,retry_iterations,retry_warnflag,retry_objective_value,retry_optimizer_message,retry_optimizer_status,retry_history,forecast_is_finite,parameters_are_finite,parameters
Electricity-CISO,Naive,2024-12-31 23:00:00+00:00,24419.0,2025-01-01 00:00:00+00:00,1,23877.0,24419.0,-542.0,0.0,-1.0,0.0,False,1787.9697749809307,0.30313711539434757,2.0000035874545574e-05,52608,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity-CISO,Naive,2024-12-31 23:00:00+00:00,24419.0,2025-01-01 23:00:00+00:00,24,23003.0,24419.0,-1416.0,0.0,-1.0,0.0,False,1787.9697749809307,0.7919596963070039,2.0000035874545574e-05,52608,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity-CISO,Naive,2024-12-31 23:00:00+00:00,24419.0,2025-01-07 23:00:00+00:00,168,24159.0,24419.0,-260.0,0.0,-1.0,0.0,False,1787.9697749809307,0.1454163284179527,2.0000035874545574e-05,52608,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity-CISO,Naive,2025-01-07 23:00:00+00:00,24159.0,2025-01-08 00:00:00+00:00,1,24153.0,24159.0,-6.0,0.0,-1.0,0.0,False,1784.615438716545,0.003362068863595097,1.4199991710484028e-05,52776,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity-CISO,Naive,2025-01-07 23:00:00+00:00,24159.0,2025-01-08 23:00:00+00:00,24,23784.0,24159.0,-375.0,0.0,-1.0,0.0,False,1784.615438716545,0.21012930397469357,1.4199991710484028e-05,52776,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity-CISO,Naive,2025-01-07 23:00:00+00:00,24159.0,2025-01-14 23:00:00+00:00,168,24913.0,24159.0,754.0,0.0,1.0,0.0,False,1784.615438716545,0.4224999871917839,1.4199991710484028e-05,52776,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity-CISO,Naive,2025-01-14 23:00:00+00:00,24913.0,2025-01-15 00:00:00+00:00,1,24813.0,24913.0,-100.0,0.0,-1.0,0.0,False,1781.6639760497196,0.05612730646421813,1.3800105080008507e-05,52944,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity-CISO,Naive,2025-01-14 23:00:00+00:00,24913.0,2025-01-15 23:00:00+00:00,24,24075.0,24913.0,-838.0,0.0,-1.0,0.0,False,1781.6639760497196,0.4703468281701479,1.3800105080008507e-05,52944,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity-CISO,Naive,2025-01-14 23:00:00+00:00,24913.0,2025-01-21 23:00:00+00:00,168,24199.0,24913.0,-714.0,0.0,-1.0,0.0,False,1781.6639760497196,0.40074896815451744,1.3800105080008507e-05,52944,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity-CISO,Naive,2025-01-21 23:00:00+00:00,24199.0,2025-01-22 00:00:00+00:00,1,24040.0,24199.0,-159.0,0.0,-1.0,0.0,False,1778.3319734058628,0.08940962788600323,1.5199999324977398e-05,53112,expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,
