origin,initial_converged,initial_iterations,initial_warnflag,initial_objective_value,initial_optimizer_message,initial_optimizer_status,initial_parameters,retry_attempted,retry_accepted,retry_count,retry_parameter,retry_parameter_offset,retry_converged,retry_iterations,retry_warnflag,retry_objective_value,retry_optimizer_message,retry_optimizer_status,retry_history,converged,iterations,warnflag,objective_value,optimizer_message,optimizer_status,parameters,forecast_is_finite,parameters_are_finite
1958-12-01,True,28,0,-1.6458739442600543,,,"{'ma.L1': -0.34251486970555955, 'ma.S.L12': -0.5405731522814051, 'sigma2': 0.0014022733484405393}",False,False,0,,,,,,,,,[],True,28,0,-1.6458739442600543,,,"{'ma.L1': -0.34251486970555955, 'ma.S.L12': -0.5405731522814051, 'sigma2': 0.0014022733484405393}",True,True
1959-01-01,True,26,0,-1.648818246838103,,,"{'ma.L1': -0.3517272449786778, 'ma.S.L12': -0.5436611652350134, 'sigma2': 0.0013975342550747618}",False,False,0,,,,,,,,,[],True,26,0,-1.648818246838103,,,"{'ma.L1': -0.3517272449786778, 'ma.S.L12': -0.5436611652350134, 'sigma2': 0.0013975342550747618}",True,True
1959-02-01,True,22,0,-1.6544585874421056,,,"{'ma.L1': -0.3500895598346315, 'ma.S.L12': -0.547848470395807, 'sigma2': 0.0013848806903037777}",False,False,0,,,,,,,,,[],True,22,0,-1.6544585874421056,,,"{'ma.L1': -0.3500895598346315, 'ma.S.L12': -0.547848470395807, 'sigma2': 0.0013848806903037777}",True,True
1959-03-01,True,22,0,-1.657677877851111,,,"{'ma.L1': -0.3458240255850712, 'ma.S.L12': -0.5558046151490946, 'sigma2': 0.0013781720939926234}",False,False,0,,,,,,,,,[],True,22,0,-1.657677877851111,,,"{'ma.L1': -0.3458240255850712, 'ma.S.L12': -0.5558046151490946, 'sigma2': 0.0013781720939926234}",True,True
1959-04-01,True,25,0,-1.6629831518032783,,,"{'ma.L1': -0.34293840069336157, 'ma.S.L12': -0.5589894387533575, 'sigma2': 0.0013657212326652266}",False,False,0,,,,,,,,,[],True,25,0,-1.6629831518032783,,,"{'ma.L1': -0.34293840069336157, 'ma.S.L12': -0.5589894387533575, 'sigma2': 0.0013657212326652266}",True,True
1959-05-01,True,27,0,-1.6648253346876263,,,"{'ma.L1': -0.33670639486923715, 'ma.S.L12': -0.5535928725334851, 'sigma2': 0.0013678719247051045}",False,False,0,,,,,,,,,[],True,27,0,-1.6648253346876263,,,"{'ma.L1': -0.33670639486923715, 'ma.S.L12': -0.5535928725334851, 'sigma2': 0.0013678719247051045}",True,True
1959-06-01,True,26,0,-1.6663073683949592,,,"{'ma.L1': -0.3474373008490221, 'ma.S.L12': -0.5653795521495019, 'sigma2': 0.0013655606890765203}",False,False,0,,,,,,,,,[],True,26,0,-1.6663073683949592,,,"{'ma.L1': -0.3474373008490221, 'ma.S.L12': -0.5653795521495019, 'sigma2': 0.0013655606890765203}",True,True
1959-07-01,True,28,0,-1.6703021348553022,,,"{'ma.L1': -0.35155474016535193, 'ma.S.L12': -0.5611973585564172, 'sigma2': 0.0013597269434534704}",False,False,0,,,,,,,,,[],True,28,0,-1.6703021348553022,,,"{'ma.L1': -0.35155474016535193, 'ma.S.L12': -0.5611973585564172, 'sigma2': 0.0013597269434534704}",True,True
1959-08-01,True,22,0,-1.6746026727053402,,,"{'ma.L1': -0.3499025150967478, 'ma.S.L12': -0.5567668228857343, 'sigma2': 0.0013523938553717484}",False,False,0,,,,,,,,,[],True,22,0,-1.6746026727053402,,,"{'ma.L1': -0.3499025150967478, 'ma.S.L12': -0.5567668228857343, 'sigma2': 0.0013523938553717484}",True,True
1959-09-01,False,24,2,-1.6799183844404262,,,"{'ma.L1': -0.35141927311198096, 'ma.S.L12': -0.5536046690326396, 'sigma2': 0.0013424498173384527}",True,False,2,ma.L1,5e-07,True,1.0,0.0,-1.6799183821133559,,,"[{'attempt': 1, 'parameter': 'ma.L1', 'parameter_offset': 1e-06, 'converged': False, 'iterations': 1.0, 'warnflag': 2.0, 'objective_value': -1.6799183842482814}, {'attempt': 2, 'parameter': 'ma.L1', 'parameter_offset': 5e-07, 'converged': True, 'iterations': 1.0, 'warnflag': 0.0, 'objective_value': -1.6799183821133559}]",False,24,2,-1.6799183844404262,,,"{'ma.L1': -0.35141927311198096, 'ma.S.L12': -0.5536046690326396, 'sigma2': 0.0013424498173384527}",True,True
1959-10-01,True,27,0,-1.6853794132850413,,,"{'ma.L1': -0.3517944017323118, 'ma.S.L12': -0.554156766968848, 'sigma2': 0.0013303810830947377}",False,False,0,,,,,,,,,[],True,27,0,-1.6853794132850413,,,"{'ma.L1': -0.3517944017323118, 'ma.S.L12': -0.554156766968848, 'sigma2': 0.0013303810830947377}",True,True
1959-11-01,True,25,0,-1.6896509861661015,,,"{'ma.L1': -0.3514728163603709, 'ma.S.L12': -0.5566736647587465, 'sigma2': 0.0013221107583256163}",False,False,0,,,,,,,,,[],True,25,0,-1.6896509861661015,,,"{'ma.L1': -0.3514728163603709, 'ma.S.L12': -0.5566736647587465, 'sigma2': 0.0013221107583256163}",True,True
1959-12-01,True,21,0,-1.6941407984458141,,,"{'ma.L1': -0.34832820665842973, 'ma.S.L12': -0.5624444034854733, 'sigma2': 0.0013122915279325787}",False,False,0,,,,,,,,,[],True,21,0,-1.6941407984458141,,,"{'ma.L1': -0.34832820665842973, 'ma.S.L12': -0.5624444034854733, 'sigma2': 0.0013122915279325787}",True,True
