origin,forecast_origin,training_data_end,validation_start,validation_end,scaler_fit_end,scaler_mean,scaler_std,context_length,patch_length,patch_stride,prediction_length,window_stride,num_training_windows,num_validation_windows,epochs_trained,best_epoch,early_stopped,best_validation_loss,training_elapsed_seconds,inference_elapsed_seconds,num_parameters,forecast_is_finite,parameters_are_finite,training_warning,training_exception,model_identifier,model_configuration,transformers_version,device
1958-12-01,1958-12-01,1956-12-01,1957-01-01,1958-12-01,1956-12-01,213.7083282470703,71.54266357421875,36,12,6,12,1,49,13,30,27,False,0.8606375455856323,0.8107144000241533,0.001027700025588274,18060,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":16,""context_length"":36,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":12,""patch_stride"":6,""patience"":5,""prediction_length"":12,""seed"":2026,""validation_points"":24,""weight_decay"":0.0001,""window_stride"":1}",5.15.0,cpu
1959-01-01,1959-01-01,1957-01-01,1957-02-01,1959-01-01,1957-01-01,214.75257873535156,71.90457916259766,36,12,6,12,1,50,13,30,29,False,0.8922872543334961,0.8036918999860063,0.0009346000151708722,18060,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":16,""context_length"":36,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":12,""patch_stride"":6,""patience"":5,""prediction_length"":12,""seed"":2026,""validation_points"":24,""weight_decay"":0.0001,""window_stride"":1}",5.15.0,cpu
1959-02-01,1959-02-01,1957-02-01,1957-03-01,1959-02-01,1957-02-01,215.63265991210938,72.05998229980469,36,12,6,12,1,51,13,30,28,False,0.7982882261276245,0.7981339000398293,0.0011375000467523932,18060,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":16,""context_length"":36,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":12,""patch_stride"":6,""patience"":5,""prediction_length"":12,""seed"":2026,""validation_points"":24,""weight_decay"":0.0001,""window_stride"":1}",5.15.0,cpu
1959-03-01,1959-03-01,1957-03-01,1957-04-01,1959-03-01,1957-03-01,217.05050659179688,73.05613708496094,36,12,6,12,1,52,13,30,26,False,0.7603793144226074,0.8085194999584928,0.000992499990388751,18060,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":16,""context_length"":36,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":12,""patch_stride"":6,""patience"":5,""prediction_length"":12,""seed"":2026,""validation_points"":24,""weight_decay"":0.0001,""window_stride"":1}",5.15.0,cpu
1959-04-01,1959-04-01,1957-04-01,1957-05-01,1959-04-01,1957-04-01,218.36000061035156,73.84842681884766,36,12,6,12,1,53,13,30,30,False,0.7382506132125854,0.8314627999207005,0.000955799943767488,18060,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":16,""context_length"":36,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":12,""patch_stride"":6,""patience"":5,""prediction_length"":12,""seed"":2026,""validation_points"":24,""weight_decay"":0.0001,""window_stride"":1}",5.15.0,cpu
1959-05-01,1959-05-01,1957-05-01,1957-06-01,1959-05-01,1957-05-01,219.71287536621094,74.71693420410156,36,12,6,12,1,54,13,30,30,False,0.6876107454299927,0.8505532999988645,0.0009145999792963266,18060,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":16,""context_length"":36,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":12,""patch_stride"":6,""patience"":5,""prediction_length"":12,""seed"":2026,""validation_points"":24,""weight_decay"":0.0001,""window_stride"":1}",5.15.0,cpu
1959-06-01,1959-06-01,1957-06-01,1957-07-01,1959-06-01,1957-06-01,221.69607543945312,76.97489166259766,36,12,6,12,1,55,13,30,29,False,0.6393911838531494,0.8253531999653205,0.0008943999418988824,18060,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":16,""context_length"":36,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":12,""patch_stride"":6,""patience"":5,""prediction_length"":12,""seed"":2026,""validation_points"":24,""weight_decay"":0.0001,""window_stride"":1}",5.15.0,cpu
1959-07-01,1959-07-01,1957-07-01,1957-08-01,1959-07-01,1957-07-01,224.05825805664062,80.22938537597656,36,12,6,12,1,56,13,30,25,False,0.6012855172157288,0.853256499976851,0.0011544000590220094,18060,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":16,""context_length"":36,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":12,""patch_stride"":6,""patience"":5,""prediction_length"":12,""seed"":2026,""validation_points"":24,""weight_decay"":0.0001,""window_stride"":1}",5.15.0,cpu
1959-08-01,1959-08-01,1957-08-01,1957-09-01,1959-08-01,1957-08-01,226.39422607421875,83.28812408447266,36,12,6,12,1,57,13,30,25,False,0.5723347067832947,0.8609091000398621,0.0012426000321283937,18060,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":16,""context_length"":36,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":12,""patch_stride"":6,""patience"":5,""prediction_length"":12,""seed"":2026,""validation_points"":24,""weight_decay"":0.0001,""window_stride"":1}",5.15.0,cpu
1959-09-01,1959-09-01,1957-09-01,1957-10-01,1959-09-01,1957-09-01,228.08570861816406,84.66641235351562,36,12,6,12,1,58,13,29,24,True,0.5591562986373901,0.8431986999930814,0.0009585999650880694,18060,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":16,""context_length"":36,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":12,""patch_stride"":6,""patience"":5,""prediction_length"":12,""seed"":2026,""validation_points"":24,""weight_decay"":0.0001,""window_stride"":1}",5.15.0,cpu
1959-10-01,1959-10-01,1957-10-01,1957-11-01,1959-10-01,1957-10-01,229.20755004882812,85.04656982421875,36,12,6,12,1,59,13,24,19,True,0.5996603965759277,0.6908111999509856,0.0011730999685823917,18060,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":16,""context_length"":36,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":12,""patch_stride"":6,""patience"":5,""prediction_length"":12,""seed"":2026,""validation_points"":24,""weight_decay"":0.0001,""window_stride"":1}",5.15.0,cpu
1959-11-01,1959-11-01,1957-11-01,1957-12-01,1959-11-01,1957-11-01,229.9158935546875,84.9617919921875,36,12,6,12,1,60,13,30,30,False,0.5988825559616089,0.8602248000679538,0.0011249000672250986,18060,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":16,""context_length"":36,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":12,""patch_stride"":6,""patience"":5,""prediction_length"":12,""seed"":2026,""validation_points"":24,""weight_decay"":0.0001,""window_stride"":1}",5.15.0,cpu
1959-12-01,1959-12-01,1957-12-01,1958-01-01,1959-12-01,1957-12-01,230.8981475830078,85.17573547363281,36,12,6,12,1,61,13,30,27,False,0.6153977513313293,0.846629700041376,0.001184999942779541,18060,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":16,""context_length"":36,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":12,""patch_stride"":6,""patience"":5,""prediction_length"":12,""seed"":2026,""validation_points"":24,""weight_decay"":0.0001,""window_stride"":1}",5.15.0,cpu
