origin,initial_converged,initial_iterations,initial_warnflag,initial_objective_value,initial_optimizer_message,initial_optimizer_status,initial_parameters,retry_attempted,retry_accepted,retry_count,retry_parameter,retry_parameter_offset,retry_converged,retry_iterations,retry_warnflag,retry_objective_value,retry_optimizer_message,retry_optimizer_status,retry_history,converged,iterations,warnflag,objective_value,optimizer_message,optimizer_status,parameters,forecast_is_finite,parameters_are_finite
2024-12-31 23:00:00+00:00,True,29,0,-1.4018001894738215,,,"{'const': -2.0652853656274163e-05, 'ar.L1': 0.25724021246578216, 'ar.L2': 0.3636651676997314, 'ma.L1': 0.6678373987317036, 'ma.L2': 0.468227432757177, 'sigma2': 0.003546914216508839}",False,False,0,,,,,,,,,[],True,29,0,-1.4018001894738215,,,"{'const': -2.0652853656274163e-05, 'ar.L1': 0.25724021246578216, 'ar.L2': 0.3636651676997314, 'ma.L1': 0.6678373987317036, 'ma.L2': 0.468227432757177, 'sigma2': 0.003546914216508839}",True,True
2025-01-07 23:00:00+00:00,True,31,0,-1.4031171209880735,,,"{'const': 5.63815748174184e-06, 'ar.L1': 0.25730932924319894, 'ar.L2': 0.3635878525005727, 'ma.L1': 0.667773992329162, 'ma.L2': 0.46805113823681727, 'sigma2': 0.003537600889294132}",False,False,0,,,,,,,,,[],True,31,0,-1.4031171209880735,,,"{'const': 5.63815748174184e-06, 'ar.L1': 0.25730932924319894, 'ar.L2': 0.3635878525005727, 'ma.L1': 0.667773992329162, 'ma.L2': 0.46805113823681727, 'sigma2': 0.003537600889294132}",True,True
2025-01-14 23:00:00+00:00,True,36,0,-1.4044421069095931,,,"{'const': -2.1950526010466604e-06, 'ar.L1': 0.2572748180464486, 'ar.L2': 0.36368033534774186, 'ma.L1': 0.6678179084027975, 'ma.L2': 0.46781370432372205, 'sigma2': 0.003528242143736397}",False,False,0,,,,,,,,,[],True,36,0,-1.4044421069095931,,,"{'const': -2.1950526010466604e-06, 'ar.L1': 0.2572748180464486, 'ar.L2': 0.36368033534774186, 'ma.L1': 0.6678179084027975, 'ma.L2': 0.46781370432372205, 'sigma2': 0.003528242143736397}",True,True
2025-01-21 23:00:00+00:00,True,43,0,-1.4058625999054337,,,"{'const': 5.9186624938654034e-05, 'ar.L1': 0.2572919417752132, 'ar.L2': 0.3637179997236135, 'ma.L1': 0.6678081347413967, 'ma.L2': 0.46766445025827913, 'sigma2': 0.0035181988988987984}",False,False,0,,,,,,,,,[],True,43,0,-1.4058625999054337,,,"{'const': 5.9186624938654034e-05, 'ar.L1': 0.2572919417752132, 'ar.L2': 0.3637179997236135, 'ma.L1': 0.6678081347413967, 'ma.L2': 0.46766445025827913, 'sigma2': 0.0035181988988987984}",True,True
2025-01-28 23:00:00+00:00,True,36,0,-1.4072317512371564,,,"{'const': 6.831633198968219e-05, 'ar.L1': 0.2574229291518938, 'ar.L2': 0.3636548656721963, 'ma.L1': 0.6676439822666193, 'ma.L2': 0.4674882758355941, 'sigma2': 0.003508668099898904}",False,False,0,,,,,,,,,[],True,36,0,-1.4072317512371564,,,"{'const': 6.831633198968219e-05, 'ar.L1': 0.2574229291518938, 'ar.L2': 0.3636548656721963, 'ma.L1': 0.6676439822666193, 'ma.L2': 0.4674882758355941, 'sigma2': 0.003508668099898904}",True,True
2025-02-04 23:00:00+00:00,True,38,0,-1.4085437546183135,,,"{'const': 0.0001036632931772436, 'ar.L1': 0.2575386094170732, 'ar.L2': 0.3636443804299855, 'ma.L1': 0.6676315435099311, 'ma.L2': 0.46731328134795214, 'sigma2': 0.0034993847478201486}",False,False,0,,,,,,,,,[],True,38,0,-1.4085437546183135,,,"{'const': 0.0001036632931772436, 'ar.L1': 0.2575386094170732, 'ar.L2': 0.3636443804299855, 'ma.L1': 0.6676315435099311, 'ma.L2': 0.46731328134795214, 'sigma2': 0.0034993847478201486}",True,True
2025-02-11 23:00:00+00:00,True,44,0,-1.409834261010243,,,"{'const': 1.4865258715552261e-05, 'ar.L1': 0.2577407113626128, 'ar.L2': 0.3635465198205283, 'ma.L1': 0.6675893369628703, 'ma.L2': 0.46722224574384935, 'sigma2': 0.003490366819976383}",False,False,0,,,,,,,,,[],True,44,0,-1.409834261010243,,,"{'const': 1.4865258715552261e-05, 'ar.L1': 0.2577407113626128, 'ar.L2': 0.3635465198205283, 'ma.L1': 0.6675893369628703, 'ma.L2': 0.46722224574384935, 'sigma2': 0.003490366819976383}",True,True
2025-02-18 23:00:00+00:00,True,45,0,-1.4111359958968368,,,"{'const': 1.3430009308167188e-05, 'ar.L1': 0.257696603057897, 'ar.L2': 0.363794398341352, 'ma.L1': 0.667577845351956, 'ma.L2': 0.46682139424668706, 'sigma2': 0.003481288705394204}",False,False,0,,,,,,,,,[],True,45,0,-1.4111359958968368,,,"{'const': 1.3430009308167188e-05, 'ar.L1': 0.257696603057897, 'ar.L2': 0.363794398341352, 'ma.L1': 0.667577845351956, 'ma.L2': 0.46682139424668706, 'sigma2': 0.003481288705394204}",True,True
2025-02-25 23:00:00+00:00,True,35,0,-1.4123764357206514,,,"{'const': -0.00015744801456450027, 'ar.L1': 0.257894066764006, 'ar.L2': 0.3640870220877332, 'ma.L1': 0.6675057661501669, 'ma.L2': 0.46649064257031053, 'sigma2': 0.0034726558717715636}",False,False,0,,,,,,,,,[],True,35,0,-1.4123764357206514,,,"{'const': -0.00015744801456450027, 'ar.L1': 0.257894066764006, 'ar.L2': 0.3640870220877332, 'ma.L1': 0.6675057661501669, 'ma.L2': 0.46649064257031053, 'sigma2': 0.0034726558717715636}",True,True
2025-03-04 23:00:00+00:00,True,39,0,-1.4137094158048855,,,"{'const': -0.00015907047553484268, 'ar.L1': 0.25804538770889884, 'ar.L2': 0.3639833295196936, 'ma.L1': 0.6673705427989534, 'ma.L2': 0.4664413537720191, 'sigma2': 0.0034634093160991843}",False,False,0,,,,,,,,,[],True,39,0,-1.4137094158048855,,,"{'const': -0.00015907047553484268, 'ar.L1': 0.25804538770889884, 'ar.L2': 0.3639833295196936, 'ma.L1': 0.6673705427989534, 'ma.L2': 0.4664413537720191, 'sigma2': 0.0034634093160991843}",True,True
2025-03-11 23:00:00+00:00,True,37,0,-1.4148501553924764,,,"{'const': -0.00013458365344578226, 'ar.L1': 0.2583178732351554, 'ar.L2': 0.3639314312967852, 'ma.L1': 0.6672825726991347, 'ma.L2': 0.4664010037096541, 'sigma2': 0.003455661818434516}",False,False,0,,,,,,,,,[],True,37,0,-1.4148501553924764,,,"{'const': -0.00013458365344578226, 'ar.L1': 0.2583178732351554, 'ar.L2': 0.3639314312967852, 'ma.L1': 0.6672825726991347, 'ma.L2': 0.4664010037096541, 'sigma2': 0.003455661818434516}",True,True
2025-03-18 23:00:00+00:00,True,38,0,-1.415999423131182,,,"{'const': -6.892501414147985e-05, 'ar.L1': 0.258625946008505, 'ar.L2': 0.3639773822577078, 'ma.L1': 0.6670486374278658, 'ma.L2': 0.46594136496882776, 'sigma2': 0.0034476152020923}",False,False,0,,,,,,,,,[],True,38,0,-1.415999423131182,,,"{'const': -6.892501414147985e-05, 'ar.L1': 0.258625946008505, 'ar.L2': 0.3639773822577078, 'ma.L1': 0.6670486374278658, 'ma.L2': 0.46594136496882776, 'sigma2': 0.0034476152020923}",True,True
2025-03-25 23:00:00+00:00,True,40,0,-1.4171028348918588,,,"{'const': -0.0002479105573246321, 'ar.L1': 0.2590030922418599, 'ar.L2': 0.364161466531779, 'ma.L1': 0.6668453397237711, 'ma.L2': 0.46552755092501696, 'sigma2': 0.0034400098987862724}",False,False,0,,,,,,,,,[],True,40,0,-1.4171028348918588,,,"{'const': -0.0002479105573246321, 'ar.L1': 0.2590030922418599, 'ar.L2': 0.364161466531779, 'ma.L1': 0.6668453397237711, 'ma.L2': 0.46552755092501696, 'sigma2': 0.0034400098987862724}",True,True
2025-04-01 23:00:00+00:00,True,41,0,-1.4178566847351932,,,"{'const': -0.0001409873067520705, 'ar.L1': 0.259601931241292, 'ar.L2': 0.3641392997631747, 'ma.L1': 0.6660081568539871, 'ma.L2': 0.46443938775285376, 'sigma2': 0.003434815814097729}",False,False,0,,,,,,,,,[],True,41,0,-1.4178566847351932,,,"{'const': -0.0001409873067520705, 'ar.L1': 0.259601931241292, 'ar.L2': 0.3641392997631747, 'ma.L1': 0.6660081568539871, 'ma.L2': 0.46443938775285376, 'sigma2': 0.003434815814097729}",True,True
2025-04-08 23:00:00+00:00,True,39,0,-1.4186172532278842,,,"{'const': -0.00019335414336299565, 'ar.L1': 0.25997028814654555, 'ar.L2': 0.3641787012469937, 'ma.L1': 0.6650901788177324, 'ma.L2': 0.46305440766044687, 'sigma2': 0.003429567206429453}",False,False,0,,,,,,,,,[],True,39,0,-1.4186172532278842,,,"{'const': -0.00019335414336299565, 'ar.L1': 0.25997028814654555, 'ar.L2': 0.3641787012469937, 'ma.L1': 0.6650901788177324, 'ma.L2': 0.46305440766044687, 'sigma2': 0.003429567206429453}",True,True
