origin,forecast_origin,training_data_end,validation_start,validation_end,scaler_fit_end,scaler_mean,scaler_std,context_length,patch_length,patch_stride,prediction_length,window_stride,num_training_windows,num_validation_windows,epochs_trained,best_epoch,early_stopped,best_validation_loss,training_elapsed_seconds,inference_elapsed_seconds,num_parameters,forecast_is_finite,parameters_are_finite,training_warning,training_exception,model_identifier,model_configuration,transformers_version,device
2024-12-31 23:00:00+00:00,2024-12-31 23:00:00+00:00,2024-11-05 23:00:00+00:00,2024-11-06 00:00:00+00:00,2024-12-31 23:00:00+00:00,2024-11-05 23:00:00+00:00,25056.31640625,4867.00732421875,336,24,12,168,168,303,8,7,2,True,0.15366825461387634,0.9321129999589175,0.0011670999228954315,24296,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":32,""context_length"":336,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":24,""patch_stride"":12,""patience"":5,""prediction_length"":168,""seed"":2026,""validation_points"":1344,""weight_decay"":0.0001,""window_stride"":168}",5.15.0,cpu
2025-01-07 23:00:00+00:00,2025-01-07 23:00:00+00:00,2024-11-12 23:00:00+00:00,2024-11-13 00:00:00+00:00,2025-01-07 23:00:00+00:00,2024-11-12 23:00:00+00:00,25051.58203125,4861.30322265625,336,24,12,168,168,304,8,7,2,True,0.2056344598531723,0.9525709000881761,0.0010430000256747007,24296,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":32,""context_length"":336,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":24,""patch_stride"":12,""patience"":5,""prediction_length"":168,""seed"":2026,""validation_points"":1344,""weight_decay"":0.0001,""window_stride"":168}",5.15.0,cpu
2025-01-14 23:00:00+00:00,2025-01-14 23:00:00+00:00,2024-11-19 23:00:00+00:00,2024-11-20 00:00:00+00:00,2025-01-14 23:00:00+00:00,2024-11-19 23:00:00+00:00,25048.9609375,4855.11083984375,336,24,12,168,168,305,8,7,2,True,0.1960008293390274,0.9200014999369159,0.0009707999415695667,24296,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":32,""context_length"":336,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":24,""patch_stride"":12,""patience"":5,""prediction_length"":168,""seed"":2026,""validation_points"":1344,""weight_decay"":0.0001,""window_stride"":168}",5.15.0,cpu
2025-01-21 23:00:00+00:00,2025-01-21 23:00:00+00:00,2024-11-26 23:00:00+00:00,2024-11-27 00:00:00+00:00,2025-01-21 23:00:00+00:00,2024-11-26 23:00:00+00:00,25048.017578125,4849.125,336,24,12,168,168,306,8,7,2,True,0.18688176572322845,0.9031438999809325,0.001236199983395636,24296,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":32,""context_length"":336,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":24,""patch_stride"":12,""patience"":5,""prediction_length"":168,""seed"":2026,""validation_points"":1344,""weight_decay"":0.0001,""window_stride"":168}",5.15.0,cpu
2025-01-28 23:00:00+00:00,2025-01-28 23:00:00+00:00,2024-12-03 23:00:00+00:00,2024-12-04 00:00:00+00:00,2025-01-28 23:00:00+00:00,2024-12-03 23:00:00+00:00,25043.55859375,4843.3056640625,336,24,12,168,168,307,8,28,23,True,0.17090223729610443,3.7408022000454366,0.001027700025588274,24296,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":32,""context_length"":336,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":24,""patch_stride"":12,""patience"":5,""prediction_length"":168,""seed"":2026,""validation_points"":1344,""weight_decay"":0.0001,""window_stride"":168}",5.15.0,cpu
2025-02-04 23:00:00+00:00,2025-02-04 23:00:00+00:00,2024-12-10 23:00:00+00:00,2024-12-11 00:00:00+00:00,2025-02-04 23:00:00+00:00,2024-12-10 23:00:00+00:00,25042.189453125,4837.08154296875,336,24,12,168,168,308,8,7,2,True,0.1797722727060318,0.9474099000217393,0.001011099899187684,24296,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":32,""context_length"":336,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":24,""patch_stride"":12,""patience"":5,""prediction_length"":168,""seed"":2026,""validation_points"":1344,""weight_decay"":0.0001,""window_stride"":168}",5.15.0,cpu
2025-02-11 23:00:00+00:00,2025-02-11 23:00:00+00:00,2024-12-17 23:00:00+00:00,2024-12-18 00:00:00+00:00,2025-02-11 23:00:00+00:00,2024-12-17 23:00:00+00:00,25044.470703125,4831.2802734375,336,24,12,168,168,309,8,7,2,True,0.1531461775302887,0.9197665000101551,0.0010909000411629677,24296,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":32,""context_length"":336,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":24,""patch_stride"":12,""patience"":5,""prediction_length"":168,""seed"":2026,""validation_points"":1344,""weight_decay"":0.0001,""window_stride"":168}",5.15.0,cpu
2025-02-18 23:00:00+00:00,2025-02-18 23:00:00+00:00,2024-12-24 23:00:00+00:00,2024-12-25 00:00:00+00:00,2025-02-18 23:00:00+00:00,2024-12-24 23:00:00+00:00,25043.388671875,4825.58056640625,336,24,12,168,168,310,8,7,2,True,0.13806608319282532,0.9265807999763638,0.00102499988861382,24296,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":32,""context_length"":336,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":24,""patch_stride"":12,""patience"":5,""prediction_length"":168,""seed"":2026,""validation_points"":1344,""weight_decay"":0.0001,""window_stride"":168}",5.15.0,cpu
2025-02-25 23:00:00+00:00,2025-02-25 23:00:00+00:00,2024-12-31 23:00:00+00:00,2025-01-01 00:00:00+00:00,2025-02-25 23:00:00+00:00,2024-12-31 23:00:00+00:00,25038.169921875,4820.27880859375,336,24,12,168,168,311,8,13,8,True,0.16577628254890442,1.7670642000157386,0.0010464999359101057,24296,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":32,""context_length"":336,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":24,""patch_stride"":12,""patience"":5,""prediction_length"":168,""seed"":2026,""validation_points"":1344,""weight_decay"":0.0001,""window_stride"":168}",5.15.0,cpu
2025-03-04 23:00:00+00:00,2025-03-04 23:00:00+00:00,2025-01-07 23:00:00+00:00,2025-01-08 00:00:00+00:00,2025-03-04 23:00:00+00:00,2025-01-07 23:00:00+00:00,25033.453125,4814.6640625,336,24,12,168,168,312,8,12,7,True,0.15816915035247803,1.6182335000485182,0.0012448999332264066,24296,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":32,""context_length"":336,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":24,""patch_stride"":12,""patience"":5,""prediction_length"":168,""seed"":2026,""validation_points"":1344,""weight_decay"":0.0001,""window_stride"":168}",5.15.0,cpu
2025-03-11 23:00:00+00:00,2025-03-11 23:00:00+00:00,2025-01-14 23:00:00+00:00,2025-01-15 00:00:00+00:00,2025-03-11 23:00:00+00:00,2025-01-14 23:00:00+00:00,25028.49609375,4809.09033203125,336,24,12,168,168,313,8,17,12,True,0.16418716311454773,2.345305099966936,0.0013335999101400375,24296,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":32,""context_length"":336,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":24,""patch_stride"":12,""patience"":5,""prediction_length"":168,""seed"":2026,""validation_points"":1344,""weight_decay"":0.0001,""window_stride"":168}",5.15.0,cpu
