origin,initial_converged,initial_iterations,initial_warnflag,initial_objective_value,initial_optimizer_message,initial_optimizer_status,initial_parameters,retry_attempted,retry_accepted,retry_count,retry_drift_offset,retry_converged,retry_iterations,retry_warnflag,retry_objective_value,retry_optimizer_message,retry_optimizer_status,retry_history,converged,iterations,warnflag,objective_value,optimizer_message,optimizer_status,parameters,forecast_is_finite,parameters_are_finite
2018-12-31,True,2,0,-3.0469735303854457,,,"{'const': 0.0003379631015615244, 'ma.L1': -0.06385512513772312, 'ma.L2': -0.0548376824465254, 'sigma2': 0.0001320156103574473}",False,False,0,,,,,,,,[],True,2,0,-3.0469735303854457,,,"{'const': 0.0003379631015615244, 'ma.L1': -0.06385512513772312, 'ma.L2': -0.0548376824465254, 'sigma2': 0.0001320156103574473}",True,True
2019-01-08,True,2,0,-3.046349809266574,,,"{'const': 0.0003417736437331328, 'ma.L1': -0.0643563373490101, 'ma.L2': -0.05479137966459643, 'sigma2': 0.00013218019542136442}",False,False,0,,,,,,,,[],True,2,0,-3.046349809266574,,,"{'const': 0.0003417736437331328, 'ma.L1': -0.0643563373490101, 'ma.L2': -0.05479137966459643, 'sigma2': 0.00013218019542136442}",True,True
2019-01-15,True,2,0,-3.0466164161328857,,,"{'const': 0.00034371426589258763, 'ma.L1': -0.06433233813283976, 'ma.L2': -0.054694826047484074, 'sigma2': 0.00013211009370496973}",False,False,0,,,,,,,,[],True,2,0,-3.0466164161328857,,,"{'const': 0.00034371426589258763, 'ma.L1': -0.06433233813283976, 'ma.L2': -0.054694826047484074, 'sigma2': 0.00013211009370496973}",True,True
2019-01-23,True,2,0,-3.0467589102783674,,,"{'const': 0.0003453754503040323, 'ma.L1': -0.06438488121442873, 'ma.L2': -0.054659219497783046, 'sigma2': 0.00013207299960809568}",False,False,0,,,,,,,,[],True,2,0,-3.0467589102783674,,,"{'const': 0.0003453754503040323, 'ma.L1': -0.06438488121442873, 'ma.L2': -0.054659219497783046, 'sigma2': 0.00013207299960809568}",True,True
2019-01-30,True,2,0,-3.046941311839075,,,"{'const': 0.0003472932151660452, 'ma.L1': -0.06446396703242446, 'ma.L2': -0.05477850572326054, 'sigma2': 0.000132023912383219}",False,False,0,,,,,,,,[],True,2,0,-3.046941311839075,,,"{'const': 0.0003472932151660452, 'ma.L1': -0.06446396703242446, 'ma.L2': -0.05477850572326054, 'sigma2': 0.000132023912383219}",True,True
2019-02-06,True,2,0,-3.047229972287381,,,"{'const': 0.00035009715205118616, 'ma.L1': -0.06423805405336197, 'ma.L2': -0.05470116564862898, 'sigma2': 0.00013194835897518723}",False,False,0,,,,,,,,[],True,2,0,-3.047229972287381,,,"{'const': 0.00035009715205118616, 'ma.L1': -0.06423805405336197, 'ma.L2': -0.05470116564862898, 'sigma2': 0.00013194835897518723}",True,True
2019-02-13,True,2,0,-3.047459581951896,,,"{'const': 0.00035098237251716193, 'ma.L1': -0.06418744581091468, 'ma.L2': -0.05475931549362605, 'sigma2': 0.00013188728665758528}",False,False,0,,,,,,,,[],True,2,0,-3.047459581951896,,,"{'const': 0.00035098237251716193, 'ma.L1': -0.06418744581091468, 'ma.L2': -0.05475931549362605, 'sigma2': 0.00013188728665758528}",True,True
2019-02-21,False,1,2,-3.0477612496517668,,,"{'const': 0.00035219357058597603, 'ma.L1': -0.0641909006747705, 'ma.L2': -0.05471816952931318, 'sigma2': 0.00013180830318156714}",True,True,2,5e-07,True,1.0,0.0,-3.0477612629868753,,,"[{'attempt': 1, 'drift_offset': 1e-06, 'converged': False, 'iterations': 0.0, 'warnflag': 2.0, 'objective_value': -3.04776127387895}, {'attempt': 2, 'drift_offset': 5e-07, 'converged': True, 'iterations': 1.0, 'warnflag': 0.0, 'objective_value': -3.0477612629868753}]",True,1,0,-3.0477612629868753,,,"{'const': 0.0003526935705767369, 'ma.L1': -0.06419090067477036, 'ma.L2': -0.05471816952931364, 'sigma2': 0.0001318083031814846}",True,True
2019-02-28,True,2,0,-3.0481187011360755,,,"{'const': 0.00035261416332572107, 'ma.L1': -0.06420290468207504, 'ma.L2': -0.05470965997842616, 'sigma2': 0.00013171407047728138}",False,False,0,,,,,,,,[],True,2,0,-3.0481187011360755,,,"{'const': 0.00035261416332572107, 'ma.L1': -0.06420290468207504, 'ma.L2': -0.05470965997842616, 'sigma2': 0.00013171407047728138}",True,True
2019-03-07,True,2,0,-3.048394891622824,,,"{'const': 0.0003504395530573261, 'ma.L1': -0.06415107971560648, 'ma.L2': -0.054672079142714325, 'sigma2': 0.0001316417503775174}",False,False,0,,,,,,,,[],True,2,0,-3.048394891622824,,,"{'const': 0.0003504395530573261, 'ma.L1': -0.06415107971560648, 'ma.L2': -0.054672079142714325, 'sigma2': 0.0001316417503775174}",True,True
2019-03-14,True,2,0,-3.048626491319942,,,"{'const': 0.00035335498319991775, 'ma.L1': -0.06408106721287597, 'ma.L2': -0.05470563737771607, 'sigma2': 0.00013157997534079353}",False,False,0,,,,,,,,[],True,2,0,-3.048626491319942,,,"{'const': 0.00035335498319991775, 'ma.L1': -0.06408106721287597, 'ma.L2': -0.05470563737771607, 'sigma2': 0.00013157997534079353}",True,True
2019-03-21,True,2,0,-3.048913130976673,,,"{'const': 0.0003555969698467246, 'ma.L1': -0.06409311303149483, 'ma.L2': -0.054666054112858645, 'sigma2': 0.00013150424867736142}",False,False,0,,,,,,,,[],True,2,0,-3.048913130976673,,,"{'const': 0.0003555969698467246, 'ma.L1': -0.06409311303149483, 'ma.L2': -0.054666054112858645, 'sigma2': 0.00013150424867736142}",True,True
2019-03-28,True,2,0,-3.049033418397585,,,"{'const': 0.0003532597003193942, 'ma.L1': -0.06436851474645366, 'ma.L2': -0.054691665271760725, 'sigma2': 0.00013147298683154187}",False,False,0,,,,,,,,[],True,2,0,-3.049033418397585,,,"{'const': 0.0003532597003193942, 'ma.L1': -0.06436851474645366, 'ma.L2': -0.054691665271760725, 'sigma2': 0.00013147298683154187}",True,True
2019-04-04,True,2,0,-3.049303415705455,,,"{'const': 0.0003564196423221555, 'ma.L1': -0.06423582096868323, 'ma.L2': -0.0546498455362811, 'sigma2': 0.00013140186494092524}",False,False,0,,,,,,,,[],True,2,0,-3.049303415705455,,,"{'const': 0.0003564196423221555, 'ma.L1': -0.06423582096868323, 'ma.L2': -0.0546498455362811, 'sigma2': 0.00013140186494092524}",True,True
