origin,forecast_origin,training_data_end,validation_start,validation_end,scaler_fit_end,scaler_mean,scaler_std,context_length,patch_length,patch_stride,prediction_length,window_stride,num_training_windows,num_validation_windows,epochs_trained,best_epoch,early_stopped,best_validation_loss,training_elapsed_seconds,inference_elapsed_seconds,num_parameters,forecast_is_finite,parameters_are_finite,training_warning,training_exception,model_identifier,model_configuration,transformers_version,device
2018-12-31,2018-12-31,2017-12-28,2017-12-29,2018-12-31,2017-12-28,91.05449676513672,47.050350189208984,252,21,7,20,5,1201,47,16,11,True,0.045520883053541183,7.211253099958412,0.0011758999899029732,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2019-01-08,2019-01-08,2018-01-05,2018-01-08,2019-01-08,2018-01-05,91.1708755493164,47.21200180053711,252,21,7,20,5,1202,47,13,8,True,0.05258956551551819,5.926410299958661,0.0010306000476703048,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2019-01-15,2019-01-15,2018-01-12,2018-01-16,2019-01-15,2018-01-12,91.29060363769531,47.38367462158203,252,21,7,20,5,1203,47,11,6,True,0.05855690315365791,5.009118200046942,0.00112439994700253,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2019-01-23,2019-01-23,2018-01-22,2018-01-23,2019-01-23,2018-01-22,91.41326141357422,47.56407928466797,252,21,7,20,5,1204,47,18,13,True,0.06034015864133835,8.231003800057806,0.001330200000666082,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2019-01-30,2019-01-30,2018-01-29,2018-01-30,2019-01-30,2018-01-29,91.53880310058594,47.75331115722656,252,21,7,20,5,1205,47,10,5,True,0.06316027790307999,4.653178500011563,0.001196000026538968,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2019-02-06,2019-02-06,2018-02-05,2018-02-06,2019-02-06,2018-02-05,91.6590805053711,47.92509841918945,252,21,7,20,5,1206,47,9,4,True,0.06466015428304672,4.2322607999667525,0.0012869000202044845,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2019-02-13,2019-02-13,2018-02-12,2018-02-13,2019-02-13,2018-02-12,91.77034759521484,48.06877136230469,252,21,7,20,5,1207,47,10,5,True,0.06577391922473907,4.79699940001592,0.0010272000217810273,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2019-02-21,2019-02-21,2018-02-20,2018-02-21,2019-02-21,2018-02-20,91.88587188720703,48.22459411621094,252,21,7,20,5,1208,47,11,6,True,0.06295950710773468,5.218381999991834,0.0012331000762060285,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2019-02-28,2019-02-28,2018-02-27,2018-02-28,2019-02-28,2018-02-27,92.00321960449219,48.385467529296875,252,21,7,20,5,1209,47,9,4,True,0.06276774406433105,4.14061259990558,0.001030299928970635,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2019-03-07,2019-03-07,2018-03-06,2018-03-07,2019-03-07,2018-03-06,92.11841583251953,48.53936767578125,252,21,7,20,5,1210,47,9,4,True,0.061413124203681946,4.196600399911404,0.0012880999129265547,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
2019-03-14,2019-03-14,2018-03-13,2018-03-14,2019-03-14,2018-03-13,92.23725128173828,48.703861236572266,252,21,7,20,5,1211,47,9,4,True,0.05947336554527283,4.441110100015067,0.0010429000249132514,19540,True,True,,,PatchTST-HF-supervised-v1,"{""batch_size"":64,""context_length"":252,""d_model"":32,""dropout"":0.1,""ffn_dim"":64,""learning_rate"":0.001,""max_epochs"":30,""min_delta"":0.0001,""num_attention_heads"":4,""num_hidden_layers"":2,""patch_length"":21,""patch_stride"":7,""patience"":5,""prediction_length"":20,""seed"":2026,""validation_points"":252,""weight_decay"":0.0001,""window_stride"":5}",5.15.0,cpu
