dataset,training_end_exclusive,n_training_observations,p,d,q,P,D,Q,seasonal_period,trend,aic,bic,hqic,loglikelihood,converged,iterations,warnflag,fit_exception,aic_rank,bic_rank
Airline,1959-01-01,120,0,1,1,0,1,1,12,n,-389.00974662241305,-380.99126011902734,-385.75915881584433,197.50487331120652,True,28,0,,1.0,1.0
Airline,1959-01-01,120,1,1,0,0,1,1,12,n,-388.64316494210726,-380.62467843872156,-385.39257713553855,197.32158247105363,True,19,0,,2.0,2.0
Airline,1959-01-01,120,1,1,1,0,1,1,12,n,-387.27894812741386,-376.5876327895662,-382.9448310519889,197.63947406370693,True,38,0,,3.0,3.0
Airline,1959-01-01,120,0,1,1,1,1,1,12,n,-387.22008161872145,-376.5287662808738,-382.8859645432965,197.61004080936073,True,27,0,,4.0,4.0
Airline,1959-01-01,120,1,1,0,1,1,1,12,n,-386.7746191750206,-376.08330383717293,-382.4405020995956,197.3873095875103,True,33,0,,5.0,6.0
Airline,1959-01-01,120,1,1,1,1,1,1,12,n,-385.4402786614068,-372.0761344890973,-380.0226323171256,197.7201393307034,True,40,0,,6.0,9.0
Airline,1959-01-01,120,0,1,1,1,1,0,12,n,-384.23148351164457,-376.21299700825887,-380.98089570507585,195.11574175582228,True,27,0,,7.0,5.0
Airline,1959-01-01,120,1,1,0,1,1,0,12,n,-383.35886722004216,-375.34038071665645,-380.10827941347344,194.67943361002108,True,24,0,,8.0,7.0
Airline,1959-01-01,120,1,1,1,1,1,0,12,n,-382.2728423046248,-371.5815269667772,-377.93872522919986,195.1364211523124,True,29,0,,9.0,10.0
Airline,1959-01-01,120,0,1,0,0,1,1,12,n,-379.98922669145816,-374.64356902253434,-377.8221681537457,191.99461334572908,True,12,0,,10.0,8.0
Airline,1959-01-01,120,0,1,0,1,1,1,12,n,-377.99409145998885,-369.97560495660315,-374.74350365342013,191.99704572999443,True,21,0,,11.0,11.0
Airline,1959-01-01,120,0,1,0,1,1,0,12,n,-371.54563147750093,-366.1999738085771,-369.37857293978846,187.77281573875047,True,9,0,,12.0,12.0
Airline,1959-01-01,120,0,1,1,0,1,0,12,n,-364.3258136627014,-358.9801559937776,-362.15875512498894,184.1629068313507,True,14,0,,13.0,13.0
Airline,1959-01-01,120,1,1,0,0,1,0,12,n,-363.57299270110065,-358.2273350321768,-361.40593416338817,183.78649635055032,True,3,0,,14.0,14.0
Airline,1959-01-01,120,1,1,1,0,1,0,12,n,-362.56415575961597,-354.54566925623027,-359.31356795304725,184.28207787980799,True,16,0,,15.0,15.0
Airline,1959-01-01,120,0,1,0,0,1,0,12,n,-353.4116316570383,-350.7388028225764,-352.32810238818206,177.70581582851915,True,3,0,,16.0,16.0
