dataset,selection_stage,training_end_exclusive,n_training_observations,p,d,q,trend,aic,bic,hqic,loglikelihood,converged,iterations,warnflag,fit_exception,aic_rank,bic_rank
SPY,no-drift order grid,2019-01-01,6528,0,1,2,n,-39761.81502147547,-39741.463913379564,-39754.77763324501,19883.907510737736,True,2,0,,1.0,1.0
SPY,no-drift order grid,2019-01-01,6528,3,1,3,n,-39761.430786157005,-39713.94486726656,-39745.01021361926,19887.715393078503,True,2,0,,2.0,16.0
SPY,no-drift order grid,2019-01-01,6528,2,1,0,n,-39760.89776342253,-39740.54665532662,-39753.86037519207,19883.448881711265,True,2,0,,3.0,2.0
SPY,no-drift order grid,2019-01-01,6528,1,1,2,n,-39760.048040697766,-39732.91322990323,-39750.66485639048,19884.024020348883,True,2,0,,4.0,4.0
SPY,no-drift order grid,2019-01-01,6528,2,1,3,n,-39759.97435124536,-39719.27213505354,-39745.89957478443,19885.98717562268,True,3,0,,5.0,13.0
SPY,no-drift order grid,2019-01-01,6528,0,1,3,n,-39759.813292140265,-39732.67848134573,-39750.43010783298,19883.906646070132,True,2,0,,6.0,5.0
SPY,no-drift order grid,2019-01-01,6528,1,1,1,n,-39759.7292632452,-39739.378155149294,-39752.69187501474,19882.8646316226,True,2,0,,7.0,3.0
SPY,no-drift order grid,2019-01-01,6528,2,1,2,n,-39759.07977041684,-39725.16125692367,-39747.35079003274,19884.53988520842,True,2,0,,8.0,10.0
SPY,no-drift order grid,2019-01-01,6528,2,1,1,n,-39759.01006834185,-39731.87525754731,-39749.626884034566,19883.505034170925,True,2,0,,9.0,6.0
SPY,no-drift order grid,2019-01-01,6528,3,1,0,n,-39758.96741650216,-39731.83260570762,-39749.58423219487,19883.48370825108,True,2,0,,10.0,7.0
SPY,no-drift order grid,2019-01-01,6528,1,1,3,n,-39757.84994395357,-39723.9314304604,-39746.12096356947,19883.924971976787,True,2,0,,11.0,11.0
SPY,no-drift order grid,2019-01-01,6528,3,1,1,n,-39756.989946865244,-39723.07143337207,-39745.26096648114,19883.494973432622,True,2,0,,12.0,12.0
SPY,no-drift order grid,2019-01-01,6528,3,1,2,n,-39755.372760599814,-39714.670544408,-39741.29798413889,19883.686380299907,True,21,0,,13.0,15.0
SPY,no-drift order grid,2019-01-01,6528,0,1,1,n,-39744.90961997301,-39731.34221457574,-39740.21802781937,19874.454809986506,True,2,0,,14.0,8.0
SPY,no-drift order grid,2019-01-01,6528,1,1,0,n,-39742.25976225857,-39728.6923568613,-39737.568170104925,19873.129881129284,True,1,0,,15.0,9.0
SPY,no-drift order grid,2019-01-01,6528,0,1,0,n,-39721.95320863328,-39715.16950593464,-39719.607412556456,19861.97660431664,False,0,2,,16.0,14.0
